name, imr, hdi
Belarus, 3.31, 0.817
Luxembourg, 3.3, 0.909
Austria, 3.29, 0.914
Montenegro, 3.29, 0.816
Belgium, 3.24, 0.919
Germany, 3.24, 0.939
France, 3.19, 0.891
Italy, 3.14, 0.883
Spain, 3.14, 0.893
Denmark, 3.09, 0.93
Australia, 3.05, 0.938
Hong Kong, 2.59, 0.939
Portugal, 2.53, 0.85
Sweden, 2.45, 0.937
Norway, 2.34, 0.954
Finland, 2.15, 0.925
Japan, 1.92, 0.915
Iceland, 1.66, 0.938
Singapore, 1.56, 0.935
Slovenia, 1.53, 0.902
name, imr, hdi
Afghanistan, 106.75, 0.496
Central African Republic, 84.22, 0.381
Niger, 68.12, 0.377
Chad, 67.02, 0.401
Sierra Leone, 65.34, 0.438
South Sudan, 64.77, 0.413
Equatorial Guinea, 63.25, 0.588
Mozambique, 63.03, 0.446
Mali, 62.31, 0.427
Angola, 60.58, 0.574
Nigeria, 58.23, 0.534
Comoros, 58.21, 0.538
Benin, 57.23, 0.52
Pakistan, 55.26, 0.56
Mauritania, 52.05, 0.527
Guinea, 50.99, 0.466
Burkina Faso, 50.71, 0.434
Guinea-Bissau, 50.44, 0.461
Lesotho, 50.23, 0.518
Cameroon, 50.09, 0.563
Laos, 49.48, 0.604
Djibouti, 47.78, 0.495
Senegal, 47.72, 0.514
Yemen, 47.56, 0.463
Liberia, 45.98, 0.465
Cambodia, 45.62, 0.581
Sao Tome and Principe, 45.3, 0.609
Sudan, 43.15, 0.507
Togo, 42.64, 0.513
Eritrea, 42.39, 0.434
Haiti, 41.29, 0.503
Eswatini, 41.2, 0.608
Papua New Guinea, 40.33, 0.543
Madagascar, 39.82, 0.521
India, 39.55, 0.647
Bolivia, 39.27, 0.703
Burundi, 38.96, 0.423
Turkmenistan, 38.54, 0.71
Zambia, 37.91, 0.591
Bhutan, 35.99, 0.617
Ethiopia, 34.62, 0.47
Timor-Leste, 34.47, 0.626
Malawi, 34.19, 0.485
Kiribati, 33.66, 0.623
Ghana, 33.33, 0.596
Tajikistan, 33.05, 0.656
Tanzania, 31.51, 0.528
Uganda, 31.49, 0.528
Bangladesh, 31.13, 0.614
Namibia, 30.38, 0.645
Gabon, 29.45, 0.702
Zimbabwe, 29.41, 0.563
Kenya, 28.81, 0.579
Rwanda, 27.16, 0.536
South Africa, 26.82, 0.705
Guatemala, 26.81, 0.651
Suriname, 26.6, 0.724
Maldives, 26.4, 0.719
Kyrgyzstan, 26.26, 0.674
Botswana, 25.97, 0.728
Nepal, 25.73, 0.579
Trinidad and Tobago, 24.55, 0.799
Azerbaijan, 24.1, 0.754
Paraguay, 23.83, 0.724
Guyana, 22.68, 0.67
Venezuela, 22.23, 0.726
Marshall Islands, 22.2, 0.698
Dominican Republic, 21.68, 0.745
Mongolia, 20.6, 0.735
Philippines, 20.55, 0.712
Solomon Islands, 20.52, 0.557
Algeria, 20.23, 0.759
Indonesia, 20.16, 0.707
Iraq, 20.08, 0.689
Turkey, 19.87, 0.806
Kazakhstan, 19.59, 0.817
Nicaragua, 19.57, 0.651
Uzbekistan, 19.42, 0.71
Peru, 19.37, 0.759
Morocco, 19, 0.676
Ecuador, 18.55, 0.758
Brazil, 18.37, 0.761
Egypt, 18.25, 0.7
Syria, 16.27, 0.549
Honduras, 15.39, 0.623
Georgia, 15.1, 0.786
Iran, 15.1, 0.797
Vietnam, 15.09, 0.693
Oman, 14.76, 0.834
Vanuatu, 14.69, 0.597
Antigua and Barbuda, 14.65, 0.776
Jordan, 14.25, 0.723
Saint Vincent and the Grenadines, 13.16, 0.728
Colombia, 12.88, 0.761
Tonga, 12.73, 0.717
Saudi Arabia, 12.58, 0.857
Armenia, 12.47, 0.76
El Salvador, 12.38, 0.667
Saint Lucia, 12.23, 0.745
Tunisia, 12.16, 0.739
Moldova, 11.83, 0.711
Mexico, 11.64, 0.767
Palau, 11.52, 0.814
Libya, 11.48, 0.708
Jamaica, 11.42, 0.726
Belize, 11.4, 0.72
Panama, 11.25, 0.795
China, 11.15, 0.758
Albania, 11.1, 0.791
Seychelles, 10.83, 0.801
Mauritius, 10.82, 0.796
Brunei, 10.79, 0.845
Bahrain, 10.54, 0.838
Fiji, 10.27, 0.724
Barbados, 10.23, 0.813
Grenada, 9.6, 0.763
Argentina, 9.55, 0.83
Romania, 9.41, 0.816
Croatia, 8.91, 0.837
Cyprus, 8.61, 0.873
Costa Rica, 8.59, 0.794
Saint Kitts and Nevis, 8.5, 0.777
Uruguay, 8.48, 0.808
Sri Lanka, 8.36, 0.78
Bulgaria, 8.14, 0.816
Kuwait, 7.6, 0.808
Ukraine, 7.44, 0.75
Lebanon, 7.2, 0.73
Malaysia, 6.7, 0.804
Qatar, 6.7, 0.848
Chile, 6.68, 0.847
Thailand, 6.58, 0.765
Russia, 6.51, 0.824
Serbia, 5.67, 0.799
Bosnia and Herzegovina, 5.32, 0.769
United Arab Emirates, 5.25, 0.866
United States, 5.22, 0.92
Latvia, 4.93, 0.854
Slovakia, 4.9, 0.857
Hungary, 4.69, 0.845
Malta, 4.62, 0.885
Canada, 4.44, 0.922
United Kingdom, 4.27, 0.92
Poland, 4.22, 0.872
Cuba, 4.19, 0.778
Liechtenstein, 4.12, 0.917
Lithuania, 3.66, 0.869
Switzerland, 3.64, 0.946
Israel, 3.62, 0.906
Greece, 3.61, 0.872
Ireland, 3.52, 0.942
Andorra, 3.5, 0.857
New Zealand, 3.5, 0.921
Estonia, 3.47, 0.882
Netherlands, 3.45, 0.933
Belarus, 3.31, 0.817
Luxembourg, 3.3, 0.909
Austria, 3.29, 0.914
Montenegro, 3.29, 0.816
Belgium, 3.24, 0.919
Germany, 3.24, 0.939
France, 3.19, 0.891
Italy, 3.14, 0.883
Spain, 3.14, 0.893
Denmark, 3.09, 0.93
Australia, 3.05, 0.938
Hong Kong, 2.59, 0.939
Portugal, 2.53, 0.85
Sweden, 2.45, 0.937
Norway, 2.34, 0.954
Finland, 2.15, 0.925
Japan, 1.92, 0.915
Iceland, 1.66, 0.938
Singapore, 1.56, 0.935
Slovenia, 1.53, 0.902
name, imr, hdi
Afghanistan, 106.75, 0.496
Central African Republic, 84.22, 0.381
Niger, 68.12, 0.377
Chad, 67.02, 0.401
Sierra Leone, 65.34, 0.438
South Sudan, 64.77, 0.413
Equatorial Guinea, 63.25, 0.588
Mozambique, 63.03, 0.446
Mali, 62.31, 0.427
Angola, 60.58, 0.574
Nigeria, 58.23, 0.534
Comoros, 58.21, 0.538
Benin, 57.23, 0.52
Pakistan, 55.26, 0.56
Mauritania, 52.05, 0.527
Guinea, 50.99, 0.466
Burkina Faso, 50.71, 0.434
Guinea-Bissau, 50.44, 0.461
Lesotho, 50.23, 0.518
Cameroon, 50.09, 0.563
Laos, 49.48, 0.604
Djibouti, 47.78, 0.495
Senegal, 47.72, 0.514
Yemen, 47.56, 0.463
Liberia, 45.98, 0.465
Cambodia, 45.62, 0.581
Sao Tome and Principe, 45.3, 0.609
Sudan, 43.15, 0.507
Togo, 42.64, 0.513
Eritrea, 42.39, 0.434
Haiti, 41.29, 0.503
Eswatini, 41.2, 0.608
Papua New Guinea, 40.33, 0.543
Madagascar, 39.82, 0.521
India, 39.55, 0.647
Bolivia, 39.27, 0.703
Burundi, 38.96, 0.423
Turkmenistan, 38.54, 0.71
Zambia, 37.91, 0.591
Bhutan, 35.99, 0.617
Ethiopia, 34.62, 0.47
Timor-Leste, 34.47, 0.626
Malawi, 34.19, 0.485
Kiribati, 33.66, 0.623
Ghana, 33.33, 0.596
Tajikistan, 33.05, 0.656
Tanzania, 31.51, 0.528
Uganda, 31.49, 0.528
Bangladesh, 31.13, 0.614
Namibia, 30.38, 0.645
Gabon, 29.45, 0.702
Zimbabwe, 29.41, 0.563
Kenya, 28.81, 0.579
Rwanda, 27.16, 0.536
South Africa, 26.82, 0.705
Guatemala, 26.81, 0.651
Suriname, 26.6, 0.724
Maldives, 26.4, 0.719
Kyrgyzstan, 26.26, 0.674
Botswana, 25.97, 0.728
Nepal, 25.73, 0.579
Trinidad and Tobago, 24.55, 0.799
Azerbaijan, 24.1, 0.754
Paraguay, 23.83, 0.724
Guyana, 22.68, 0.67
Venezuela, 22.23, 0.726
Marshall Islands, 22.2, 0.698
Dominican Republic, 21.68, 0.745
Mongolia, 20.6, 0.735
Philippines, 20.55, 0.712
Solomon Islands, 20.52, 0.557
Algeria, 20.23, 0.759
Indonesia, 20.16, 0.707
Iraq, 20.08, 0.689
Turkey, 19.87, 0.806
Kazakhstan, 19.59, 0.817
Nicaragua, 19.57, 0.651
Uzbekistan, 19.42, 0.71
Peru, 19.37, 0.759
Morocco, 19, 0.676
Ecuador, 18.55, 0.758
Brazil, 18.37, 0.761
Egypt, 18.25, 0.7
Syria, 16.27, 0.549
Honduras, 15.39, 0.623
Georgia, 15.1, 0.786
Iran, 15.1, 0.797
Vietnam, 15.09, 0.693
Oman, 14.76, 0.834
Vanuatu, 14.69, 0.597
Antigua and Barbuda, 14.65, 0.776
Jordan, 14.25, 0.723
Saint Vincent and the Grenadines, 13.16, 0.728
Colombia, 12.88, 0.761
Tonga, 12.73, 0.717
Saudi Arabia, 12.58, 0.857
Armenia, 12.47, 0.76
El Salvador, 12.38, 0.667
Saint Lucia, 12.23, 0.745
Tunisia, 12.16, 0.739
Moldova, 11.83, 0.711
Mexico, 11.64, 0.767
Palau, 11.52, 0.814
Libya, 11.48, 0.708
Jamaica, 11.42, 0.726
Belize, 11.4, 0.72
Panama, 11.25, 0.795
China, 11.15, 0.758
Albania, 11.1, 0.791
Seychelles, 10.83, 0.801
Mauritius, 10.82, 0.796
Brunei, 10.79, 0.845
Bahrain, 10.54, 0.838
Fiji, 10.27, 0.724
Barbados, 10.23, 0.813
Grenada, 9.6, 0.763
Argentina, 9.55, 0.83
Romania, 9.41, 0.816
Croatia, 8.91, 0.837
Cyprus, 8.61, 0.873
Costa Rica, 8.59, 0.794
Saint Kitts and Nevis, 8.5, 0.777
Uruguay, 8.48, 0.808
Sri Lanka, 8.36, 0.78
Bulgaria, 8.14, 0.816
Kuwait, 7.6, 0.808
Ukraine, 7.44, 0.75
Lebanon, 7.2, 0.73
Malaysia, 6.7, 0.804
Qatar, 6.7, 0.848
Chile, 6.68, 0.847
Thailand, 6.58, 0.765
Russia, 6.51, 0.824
Serbia, 5.67, 0.799
Bosnia and Herzegovina, 5.32, 0.769
United Arab Emirates, 5.25, 0.866
United States, 5.22, 0.92
Latvia, 4.93, 0.854
Slovakia, 4.9, 0.857
Hungary, 4.69, 0.845
Malta, 4.62, 0.885
Canada, 4.44, 0.922
United Kingdom, 4.27, 0.92
Poland, 4.22, 0.872
Cuba, 4.19, 0.778
Liechtenstein, 4.12, 0.917
Lithuania, 3.66, 0.869
Switzerland, 3.64, 0.946
Israel, 3.62, 0.906
Greece, 3.61, 0.872
Ireland, 3.52, 0.942
Andorra, 3.5, 0.857
New Zealand, 3.5, 0.921
Estonia, 3.47, 0.882
Netherlands, 3.45, 0.933
Belarus, 3.31, 0.817
Luxembourg, 3.3, 0.909
Austria, 3.29, 0.914
Montenegro, 3.29, 0.816
Belgium, 3.24, 0.919
Germany, 3.24, 0.939
France, 3.19, 0.891
Italy, 3.14, 0.883
Spain, 3.14, 0.893
Denmark, 3.09, 0.93
Australia, 3.05, 0.938
Hong Kong, 2.59, 0.939
Portugal, 2.53, 0.85
Sweden, 2.45, 0.937
Norway, 2.34, 0.954
Finland, 2.15, 0.925
Japan, 1.92, 0.915
Iceland, 1.66, 0.938
Singapore, 1.56, 0.935
Slovenia, 1.53, 0.902
name, imr, hdi
Afghanistan, 106.75, 0.496
Central African Republic, 84.22, 0.381
Niger, 68.12, 0.377
Chad, 67.02, 0.401
Sierra Leone, 65.34, 0.438
South Sudan, 64.77, 0.413
Equatorial Guinea, 63.25, 0.588
Mozambique, 63.03, 0.446
Mali, 62.31, 0.427
Angola, 60.58, 0.574
Nigeria, 58.23, 0.534
Comoros, 58.21, 0.538
Benin, 57.23, 0.52
Pakistan, 55.26, 0.56
Mauritania, 52.05, 0.527
Guinea, 50.99, 0.466
Burkina Faso, 50.71, 0.434
Guinea-Bissau, 50.44, 0.461
Lesotho, 50.23, 0.518
Cameroon, 50.09, 0.563
Laos, 49.48, 0.604
Djibouti, 47.78, 0.495
Senegal, 47.72, 0.514
Yemen, 47.56, 0.463
Liberia, 45.98, 0.465
Cambodia, 45.62, 0.581
Sao Tome and Principe, 45.3, 0.609
Sudan, 43.15, 0.507
Togo, 42.64, 0.513
Eritrea, 42.39, 0.434
Haiti, 41.29, 0.503
Eswatini, 41.2, 0.608
Papua New Guinea, 40.33, 0.543
Madagascar, 39.82, 0.521
India, 39.55, 0.647
Bolivia, 39.27, 0.703
Burundi, 38.96, 0.423
Turkmenistan, 38.54, 0.71
Zambia, 37.91, 0.591
Bhutan, 35.99, 0.617
Ethiopia, 34.62, 0.47
Timor-Leste, 34.47, 0.626
Malawi, 34.19, 0.485
Kiribati, 33.66, 0.623
Ghana, 33.33, 0.596
Tajikistan, 33.05, 0.656
Tanzania, 31.51, 0.528
Uganda, 31.49, 0.528
Bangladesh, 31.13, 0.614
Namibia, 30.38, 0.645
Gabon, 29.45, 0.702
Zimbabwe, 29.41, 0.563
Kenya, 28.81, 0.579
Rwanda, 27.16, 0.536
South Africa, 26.82, 0.705
Guatemala, 26.81, 0.651
Suriname, 26.6, 0.724
Maldives, 26.4, 0.719
Kyrgyzstan, 26.26, 0.674
Botswana, 25.97, 0.728
Nepal, 25.73, 0.579
Trinidad and Tobago, 24.55, 0.799
Azerbaijan, 24.1, 0.754
Paraguay, 23.83, 0.724
Guyana, 22.68, 0.67
Venezuela, 22.23, 0.726
Marshall Islands, 22.2, 0.698
Dominican Republic, 21.68, 0.745
Mongolia, 20.6, 0.735
Philippines, 20.55, 0.712
Solomon Islands, 20.52, 0.557
Algeria, 20.23, 0.759
Indonesia, 20.16, 0.707
Iraq, 20.08, 0.689
Turkey, 19.87, 0.806
Kazakhstan, 19.59, 0.817
Nicaragua, 19.57, 0.651
Uzbekistan, 19.42, 0.71
Peru, 19.37, 0.759
Morocco, 19, 0.676
Ecuador, 18.55, 0.758
Brazil, 18.37, 0.761
Egypt, 18.25, 0.7
Syria, 16.27, 0.549
Honduras, 15.39, 0.623
Georgia, 15.1, 0.786
Iran, 15.1, 0.797
Vietnam, 15.09, 0.693
Oman, 14.76, 0.834
Vanuatu, 14.69, 0.597
Antigua and Barbuda, 14.65, 0.776
Jordan, 14.25, 0.723
Saint Vincent and the Grenadines, 13.16, 0.728
Colombia, 12.88, 0.761
Tonga, 12.73, 0.717
Saudi Arabia, 12.58, 0.857
Armenia, 12.47, 0.76
El Salvador, 12.38, 0.667
Saint Lucia, 12.23, 0.745
Tunisia, 12.16, 0.739
Moldova, 11.83, 0.711
Mexico, 11.64, 0.767
Palau, 11.52, 0.814
Libya, 11.48, 0.708
Jamaica, 11.42, 0.726
Belize, 11.4, 0.72
Panama, 11.25, 0.795
China, 11.15, 0.758
Albania, 11.1, 0.791
Seychelles, 10.83, 0.801
Mauritius, 10.82, 0.796
Brunei, 10.79, 0.845
Bahrain, 10.54, 0.838
Fiji, 10.27, 0.724
Barbados, 10.23, 0.813
Grenada, 9.6, 0.763
Argentina, 9.55, 0.83
Romania, 9.41, 0.816
Croatia, 8.91, 0.837
Cyprus, 8.61, 0.873
Costa Rica, 8.59, 0.794
Saint Kitts and Nevis, 8.5, 0.777
Uruguay, 8.48, 0.808
Sri Lanka, 8.36, 0.78
Bulgaria, 8.14, 0.816
Kuwait, 7.6, 0.808
Ukraine, 7.44, 0.75
Lebanon, 7.2, 0.73
Malaysia, 6.7, 0.804
Qatar, 6.7, 0.848
Chile, 6.68, 0.847
Thailand, 6.58, 0.765
Russia, 6.51, 0.824
Serbia, 5.67, 0.799
Bosnia and Herzegovina, 5.32, 0.769
United Arab Emirates, 5.25, 0.866
United States, 5.22, 0.92
Latvia, 4.93, 0.854
Slovakia, 4.9, 0.857
Hungary, 4.69, 0.845
Malta, 4.62, 0.885
Canada, 4.44, 0.922
United Kingdom, 4.27, 0.92
Poland, 4.22, 0.872
Cuba, 4.19, 0.778
Liechtenstein, 4.12, 0.917
Lithuania, 3.66, 0.869
Switzerland, 3.64, 0.946
Israel, 3.62, 0.906
Greece, 3.61, 0.872
Ireland, 3.52, 0.942
Andorra, 3.5, 0.857
New Zealand, 3.5, 0.921
Estonia, 3.47, 0.882
Netherlands, 3.45, 0.933
Belarus, 3.31, 0.817
Luxembourg, 3.3, 0.909
Austria, 3.29, 0.914
Montenegro, 3.29, 0.816
Belgium, 3.24, 0.919
Germany, 3.24, 0.939
France, 3.19, 0.891
Italy, 3.14, 0.883
Spain, 3.14, 0.893
Denmark, 3.09, 0.93
Australia, 3.05, 0.938
Hong Kong, 2.59, 0.939
Portugal, 2.53, 0.85
Sweden, 2.45, 0.937
Norway, 2.34, 0.954
Finland, 2.15, 0.925
Japan, 1.92, 0.915
Iceland, 1.66, 0.938
Singapore, 1.56, 0.935
Slovenia, 1.53, 0.902
name, imr, hdi
Afghanistan, 106.75, 0.496
Central African Republic, 84.22, 0.381
Niger, 68.12, 0.377
Chad, 67.02, 0.401
Sierra Leone, 65.34, 0.438
South Sudan, 64.77, 0.413
Equatorial Guinea, 63.25, 0.588
Mozambique, 63.03, 0.446
Mali, 62.31, 0.427
Angola, 60.58, 0.574
Nigeria, 58.23, 0.534
Comoros, 58.21, 0.538
Benin, 57.23, 0.52
Pakistan, 55.26, 0.56
Mauritania, 52.05, 0.527
Guinea, 50.99, 0.466
Burkina Faso, 50.71, 0.434
Guinea-Bissau, 50.44, 0.461
Lesotho, 50.23, 0.518
Cameroon, 50.09, 0.563
Laos, 49.48, 0.604
Djibouti, 47.78, 0.495
Senegal, 47.72, 0.514
Yemen, 47.56, 0.463
Liberia, 45.98, 0.465
Cambodia, 45.62, 0.581
Sao Tome and Principe, 45.3, 0.609
Sudan, 43.15, 0.507
Togo, 42.64, 0.513
Eritrea, 42.39, 0.434
Haiti, 41.29, 0.503
Eswatini, 41.2, 0.608
Papua New Guinea, 40.33, 0.543
Madagascar, 39.82, 0.521
India, 39.55, 0.647
Bolivia, 39.27, 0.703
Burundi, 38.96, 0.423
Turkmenistan, 38.54, 0.71
Zambia, 37.91, 0.591
Bhutan, 35.99, 0.617
Ethiopia, 34.62, 0.47
Timor-Leste, 34.47, 0.626
Malawi, 34.19, 0.485
Kiribati, 33.66, 0.623
Ghana, 33.33, 0.596
Tajikistan, 33.05, 0.656
Tanzania, 31.51, 0.528
Uganda, 31.49, 0.528
Bangladesh, 31.13, 0.614
Namibia, 30.38, 0.645
Gabon, 29.45, 0.702
Zimbabwe, 29.41, 0.563
Kenya, 28.81, 0.579
Rwanda, 27.16, 0.536
South Africa, 26.82, 0.705
Guatemala, 26.81, 0.651
Suriname, 26.6, 0.724
Maldives, 26.4, 0.719
Kyrgyzstan, 26.26, 0.674
Botswana, 25.97, 0.728
Nepal, 25.73, 0.579
Trinidad and Tobago, 24.55, 0.799
Azerbaijan, 24.1, 0.754
Paraguay, 23.83, 0.724
Guyana, 22.68, 0.67
Venezuela, 22.23, 0.726
Marshall Islands, 22.2, 0.698
Dominican Republic, 21.68, 0.745
Mongolia, 20.6, 0.735
Philippines, 20.55, 0.712
Solomon Islands, 20.52, 0.557
Algeria, 20.23, 0.759
Indonesia, 20.16, 0.707
Iraq, 20.08, 0.689
Turkey, 19.87, 0.806
Kazakhstan, 19.59, 0.817
Nicaragua, 19.57, 0.651
Uzbekistan, 19.42, 0.71
Peru, 19.37, 0.759
Morocco, 19, 0.676
Ecuador, 18.55, 0.758
Brazil, 18.37, 0.761
Egypt, 18.25, 0.7
Syria, 16.27, 0.549
Honduras, 15.39, 0.623
Georgia, 15.1, 0.786
Iran, 15.1, 0.797
Vietnam, 15.09, 0.693
Oman, 14.76, 0.834
Vanuatu, 14.69, 0.597
Antigua and Barbuda, 14.65, 0.776
Jordan, 14.25, 0.723
Saint Vincent and the Grenadines, 13.16, 0.728
Colombia, 12.88, 0.761
Tonga, 12.73, 0.717
Saudi Arabia, 12.58, 0.857
Armenia, 12.47, 0.76
El Salvador, 12.38, 0.667
Saint Lucia, 12.23, 0.745
Tunisia, 12.16, 0.739
Moldova, 11.83, 0.711
Mexico, 11.64, 0.767
Palau, 11.52, 0.814
Libya, 11.48, 0.708
Jamaica, 11.42, 0.726
Belize, 11.4, 0.72
Panama, 11.25, 0.795
China, 11.15, 0.758
Albania, 11.1, 0.791
Seychelles, 10.83, 0.801
Mauritius, 10.82, 0.796
Brunei, 10.79, 0.845
Bahrain, 10.54, 0.838
Fiji, 10.27, 0.724
Barbados, 10.23, 0.813
Grenada, 9.6, 0.763
Argentina, 9.55, 0.83
Romania, 9.41, 0.816
Croatia, 8.91, 0.837
Cyprus, 8.61, 0.873
Costa Rica, 8.59, 0.794
Saint Kitts and Nevis, 8.5, 0.777
Uruguay, 8.48, 0.808
Sri Lanka, 8.36, 0.78
Bulgaria, 8.14, 0.816
Kuwait, 7.6, 0.808
Ukraine, 7.44, 0.75
Lebanon, 7.2, 0.73
Malaysia, 6.7, 0.804
Qatar, 6.7, 0.848
Chile, 6.68, 0.847
Thailand, 6.58, 0.765
Russia, 6.51, 0.824
Serbia, 5.67, 0.799
Bosnia and Herzegovina, 5.32, 0.769
United Arab Emirates, 5.25, 0.866
United States, 5.22, 0.92
Latvia, 4.93, 0.854
Slovakia, 4.9, 0.857
Hungary, 4.69, 0.845
Malta, 4.62, 0.885
Canada, 4.44, 0.922
United Kingdom, 4.27, 0.92
Poland, 4.22, 0.872
Cuba, 4.19, 0.778
Liechtenstein, 4.12, 0.917
Lithuania, 3.66, 0.869
Switzerland, 3.64, 0.946
Israel, 3.62, 0.906
Greece, 3.61, 0.872
Ireland, 3.52, 0.942
Andorra, 3.5, 0.857
New Zealand, 3.5, 0.921
Estonia, 3.47, 0.882
Netherlands, 3.45, 0.933
Belarus, 3.31, 0.817
Luxembourg, 3.3, 0.909
Austria, 3.29, 0.914
Montenegro, 3.29, 0.816
Belgium, 3.24, 0.919
Germany, 3.24, 0.939
France, 3.19, 0.891
Italy, 3.14, 0.883
Spain, 3.14, 0.893
Denmark, 3.09, 0.93
Australia, 3.05, 0.938
Hong Kong, 2.59, 0.939
Portugal, 2.53, 0.85
Sweden, 2.45, 0.937
Norway, 2.34, 0.954
Finland, 2.15, 0.925
Japan, 1.92, 0.915
Iceland, 1.66, 0.938
Singapore, 1.56, 0.935
Slovenia, 1.53, 0.902
name, imr, hdi
name, imr, hdi
name, imr, hdi
Afghanistan, 106.75, 0.496
Central African Republic, 84.22, 0.381
Niger, 68.12, 0.377
Chad, 67.02, 0.401
Sierra Leone, 65.34, 0.438
South Sudan, 64.77, 0.413
Equatorial Guinea, 63.25, 0.588
Mozambique, 63.03, 0.446
Mali, 62.31, 0.427
Angola, 60.58, 0.574
Nigeria, 58.23, 0.534
Comoros, 58.21, 0.538
Benin, 57.23, 0.52
Pakistan, 55.26, 0.56
Mauritania, 52.05, 0.527
Guinea, 50.99, 0.466
Burkina Faso, 50.71, 0.434
Guinea-Bissau, 50.44, 0.461
Lesotho, 50.23, 0.518
Cameroon, 50.09, 0.563
Laos, 49.48, 0.604
Djibouti, 47.78, 0.495
Senegal, 47.72, 0.514
Yemen, 47.56, 0.463
Liberia, 45.98, 0.465
Cambodia, 45.62, 0.581
Sao Tome and Principe, 45.3, 0.609
Sudan, 43.15, 0.507
Togo, 42.64, 0.513
Eritrea, 42.39, 0.434
Haiti, 41.29, 0.503
Eswatini, 41.2, 0.608
Papua New Guinea, 40.33, 0.543
Madagascar, 39.82, 0.521
India, 39.55, 0.647
Bolivia, 39.27, 0.703
Burundi, 38.96, 0.423
Turkmenistan, 38.54, 0.71
Zambia, 37.91, 0.591
Bhutan, 35.99, 0.617
Ethiopia, 34.62, 0.47
Timor-Leste, 34.47, 0.626
Malawi, 34.19, 0.485
Kiribati, 33.66, 0.623
Ghana, 33.33, 0.596
Tajikistan, 33.05, 0.656
Tanzania, 31.51, 0.528
Uganda, 31.49, 0.528
Bangladesh, 31.13, 0.614
Namibia, 30.38, 0.645
Gabon, 29.45, 0.702
Zimbabwe, 29.41, 0.563
Kenya, 28.81, 0.579
Rwanda, 27.16, 0.536
South Africa, 26.82, 0.705
Guatemala, 26.81, 0.651
Suriname, 26.6, 0.724
Maldives, 26.4, 0.719
Kyrgyzstan, 26.26, 0.674
Botswana, 25.97, 0.728
Nepal, 25.73, 0.579
Trinidad and Tobago, 24.55, 0.799
Azerbaijan, 24.1, 0.754
Paraguay, 23.83, 0.724
Guyana, 22.68, 0.67
Venezuela, 22.23, 0.726
Marshall Islands, 22.2, 0.698
Dominican Republic, 21.68, 0.745
Mongolia, 20.6, 0.735
Philippines, 20.55, 0.712
Solomon Islands, 20.52, 0.557
Algeria, 20.23, 0.759
Indonesia, 20.16, 0.707
Iraq, 20.08, 0.689
Turkey, 19.87, 0.806
Kazakhstan, 19.59, 0.817
Nicaragua, 19.57, 0.651
Uzbekistan, 19.42, 0.71
Peru, 19.37, 0.759
Morocco, 19, 0.676
Ecuador, 18.55, 0.758
Brazil, 18.37, 0.761
Egypt, 18.25, 0.7
Syria, 16.27, 0.549
Honduras, 15.39, 0.623
Georgia, 15.1, 0.786
Iran, 15.1, 0.797
Vietnam, 15.09, 0.693
Oman, 14.76, 0.834
Vanuatu, 14.69, 0.597
Antigua and Barbuda, 14.65, 0.776
Jordan, 14.25, 0.723
Saint Vincent and the Grenadines, 13.16, 0.728
Colombia, 12.88, 0.761
Tonga, 12.73, 0.717
Saudi Arabia, 12.58, 0.857
Armenia, 12.47, 0.76
El Salvador, 12.38, 0.667
Saint Lucia, 12.23, 0.745
Tunisia, 12.16, 0.739
Moldova, 11.83, 0.711
Mexico, 11.64, 0.767
Palau, 11.52, 0.814
Libya, 11.48, 0.708
Jamaica, 11.42, 0.726
Belize, 11.4, 0.72
Panama, 11.25, 0.795
China, 11.15, 0.758
Albania, 11.1, 0.791
Seychelles, 10.83, 0.801
Mauritius, 10.82, 0.796
Brunei, 10.79, 0.845
Bahrain, 10.54, 0.838
Fiji, 10.27, 0.724
Barbados, 10.23, 0.813
Grenada, 9.6, 0.763
Argentina, 9.55, 0.83
Romania, 9.41, 0.816
Croatia, 8.91, 0.837
Cyprus, 8.61, 0.873
Costa Rica, 8.59, 0.794
Saint Kitts and Nevis, 8.5, 0.777
Uruguay, 8.48, 0.808
Sri Lanka, 8.36, 0.78
Bulgaria, 8.14, 0.816
Kuwait, 7.6, 0.808
Ukraine, 7.44, 0.75
Lebanon, 7.2, 0.73
Malaysia, 6.7, 0.804
Qatar, 6.7, 0.848
Chile, 6.68, 0.847
Thailand, 6.58, 0.765
Russia, 6.51, 0.824
Serbia, 5.67, 0.799
Bosnia and Herzegovina, 5.32, 0.769
United Arab Emirates, 5.25, 0.866
United States, 5.22, 0.92
Latvia, 4.93, 0.854
Slovakia, 4.9, 0.857
Hungary, 4.69, 0.845
Malta, 4.62, 0.885
Canada, 4.44, 0.922
United Kingdom, 4.27, 0.92
Poland, 4.22, 0.872
Cuba, 4.19, 0.778
Liechtenstein, 4.12, 0.917
Lithuania, 3.66, 0.869
Switzerland, 3.64, 0.946
Israel, 3.62, 0.906
Greece, 3.61, 0.872
Ireland, 3.52, 0.942
Andorra, 3.5, 0.857
New Zealand, 3.5, 0.921
Estonia, 3.47, 0.882
Netherlands, 3.45, 0.933
Belarus, 3.31, 0.817
Luxembourg, 3.3, 0.909
Austria, 3.29, 0.914
Montenegro, 3.29, 0.816
Belgium, 3.24, 0.919
Germany, 3.24, 0.939
France, 3.19, 0.891
Italy, 3.14, 0.883
